IMAGE_NAME,TFS,LOSS,M_LOSS,LOSS_NOT_AUG_BEF,LOSS_NOT_AUG_AFTER
"('leucoplasias/38.png',)","(""'VerticalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'ISONoise'-'Posterize'-'OpticalDistortion'-'RandomContrast'"",)",0.09926212579011917,0.3222202363650541,0.09930292516946793,0.11829667538404465
"('carcinomas/65.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'Solarize'-'ISONoise'-'Equalize'-'GridDistortion'-'GaussNoise'-'GaussianBlur'"",)",0.12975026667118073,0.31965397010246915,0.8376928567886353,0.9543711543083191
"('leucoplasias/64.png',)","(""'VerticalFlip'-'ISONoise'-'Posterize'-'OpticalDistortion'-'RandomContrast'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.4291051924228668,0.32109411776457963,0.44327741861343384,0.4424077868461609
"('carcinomas/64.png',)","(""'HorizontalFlip'-'VerticalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'ISONoise'-'Equalize'-'GaussianBlur'-'RandomResizedCrop'"",)",0.15624673664569855,0.31895324268511366,0.894180953502655,0.8464472889900208
"('carcinomas/55.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'Solarize'-'Equalize'-'Posterize'-'RandomContrast'-'RandomBrightness'-'RandomGamma'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.1545475721359253,0.31684547767807275,1.4083017110824585,1.3796571493148804
"('carcinomas/42.png',)","(""'VerticalFlip'-'Transpose'-'Solarize'-'ISONoise'-'Equalize'-'Posterize'-'ElasticTransform'-'RandomContrast'-'RandomBrightness'-'GaussNoise'-'RandomResizedCrop'"",)",0.5859088897705078,0.3202513436539264,0.6014623641967773,0.6178820133209229
"('leucoplasias/17.png',)","(""'VerticalFlip'-'Transpose'-'ISONoise'-'Equalize'-'Posterize'-'OpticalDistortion'-'RandomBrightness'"",)",0.17837929725646973,0.31847794307395816,0.1736346334218979,0.1805192083120346
"('leucoplasias/65.png',)","(""'VerticalFlip'-'Transpose'-'RandomBrightness'"",)",0.1437004655599594,0.31632019643798287,1.1293387413024902,1.1438604593276978
"('carcinomas/58.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'Solarize'-'ISONoise'-'Equalize'-'Posterize'-'OpticalDistortion'-'RandomBrightness'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.484586238861084,0.3183722213455817,0.8454481959342957,1.024999976158142
"('carcinomas/46.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Posterize'-'OpticalDistortion'-'RandomBrightness'"",)",0.3342062830924988,0.3185629931738578,0.6727831959724426,0.717452347278595
"('carcinomas/6.png',)","(""'HorizontalFlip'-'Transpose'-'Equalize'-'OpticalDistortion'-'GaussianBlur'"",)",0.3083679974079132,0.3184416241766441,0.8465436697006226,0.9516458511352539
"('leucoplasias/47.png',)","(""'RandomRotate90'-'Transpose'-'Equalize'-'Posterize'-'GridDistortion'-'GaussNoise'-'RandomResizedCrop'"",)",0.3734428882598877,0.3190886978717411,1.9011476039886475,1.5942533016204834
"('leucoplasias/44.png',)","(""'VerticalFlip'-'RandomRotate90'-'Transpose'-'Equalize'-'Posterize'-'GridDistortion'-'RandomContrast'-'RandomBrightness'-'RandomGamma'-'GaussianBlur'"",)",0.11618403345346451,0.3167293413087379,0.6978833675384521,0.5332657098770142
"('carcinomas/33.png',)","(""'VerticalFlip'-'OpticalDistortion'-'RandomContrast'-'RandomBrightness'-'RandomGamma'-'GaussianBlur'"",)",0.2602877616882324,0.31608058751999646,1.0516363382339478,1.0620888471603394
"('carcinomas/66.png',)","(""'HorizontalFlip'-'VerticalFlip'-'Transpose'-'Solarize'-'OpticalDistortion'-'RandomBrightness'-'RandomGamma'-'GaussNoise'"",)",0.22777090966701508,0.3150770684534853,0.31294775009155273,0.32210472226142883
"('carcinomas/51.png',)","(""'HorizontalFlip'-'VerticalFlip'-'ISONoise'-'Posterize'-'ElasticTransform'-'RandomContrast'-'GaussNoise'-'GaussianBlur'-'RandomResizedCrop'"",)",0.18457549810409546,0.3136107586742787,3.789985179901123,3.6514365673065186
"('carcinomas/31.png',)","(""'RandomRotate90'-'Equalize'-'OpticalDistortion'-'RandomContrast'-'RandomBrightness'"",)",0.23839202523231506,0.312774994969368,0.195951908826828,0.22294025123119354
